Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease
Sweating,Fever,Abdominal Pain,Chills,Sneezing,Flu
Diarrhea,Skin Rash,Muscle Weakness,Sore Throat,Swelling,Asthma
Shortness of Breath,Joint Pain,Vomiting,Dizziness,Swelling,Allergy
Runny Nose,Fatigue,Fever,Skin Rash,High Fever,Cold
High Fever,Fatigue,Chest Pain,Joint Pain,Headache,Asthma
Sneezing,Shortness of Breath,Chills,Skin Rash,Diarrhea,Pneumonia
Loss of Appetite,Sore Throat,Swelling,Shortness of Breath,Muscle Weakness,Asthma
Fatigue,Sweating,Fever,Swelling,Nausea,Malaria
Vomiting,Dizziness,Skin Rash,Nausea,Headache,Cold
Body Pain,Sweating,Chills,Nausea,Cough,Malaria
Chills,Runny Nose,Shortness of Breath,Chest Pain,Vomiting,COVID-19
Abdominal Pain,Cough,Body Pain,Dizziness,Swelling,Food Poisoning
Chest Pain,Skin Rash,Abdominal Pain,Dizziness,High Fever,Tuberculosis
Shortness of Breath,Fatigue,Sore Throat,High Fever,Fever,Asthma
Swelling,Sneezing,Diarrhea,Cough,Nausea,Typhoid
Vomiting,Sweating,High Fever,Swelling,Diarrhea,COVID-19
Cough,Diarrhea,Vomiting,Muscle Weakness,Chills,Allergy
Fever,Dizziness,Joint Pain,Sneezing,Chills,Malaria
Loss of Appetite,Nausea,Runny Nose,Fatigue,Dizziness,Cold
Chills,Fever,Diarrhea,Skin Rash,Cough,Food Poisoning
Body Pain,Runny Nose,High Fever,Abdominal Pain,Sweating,Dengue
Skin Rash,Muscle Weakness,Headache,Nausea,Abdominal Pain,Food Poisoning
Dizziness,Sweating,Joint Pain,Headache,Sore Throat,Chikungunya
Sweating,Muscle Weakness,Joint Pain,Diarrhea,Fatigue,Tuberculosis
Dizziness,Loss of Appetite,Abdominal Pain,Joint Pain,Body Pain,Asthma
Body Pain,Chills,Sore Throat,Muscle Weakness,Dizziness,Typhoid
Sneezing,Swelling,Fatigue,Skin Rash,Sore Throat,Pneumonia
Chest Pain,Sweating,Fever,Headache,Sneezing,Tuberculosis
Runny Nose,Vomiting,Shortness of Breath,Fever,Swelling,Tuberculosis
Fever,Nausea,Body Pain,Loss of Appetite,Runny Nose,Bronchitis
Headache,Sweating,Nausea,Chills,Joint Pain,Chikungunya
Chills,Joint Pain,Shortness of Breath,High Fever,Body Pain,Cold
Sneezing,Diarrhea,Skin Rash,Muscle Weakness,Dizziness,COVID-19
Vomiting,Skin Rash,Sore Throat,Fatigue,Loss of Appetite,Malaria
Runny Nose,Joint Pain,Nausea,Muscle Weakness,Headache,Asthma
Joint Pain,High Fever,Sneezing,Loss of Appetite,Chills,Asthma
Diarrhea,High Fever,Vomiting,Loss of Appetite,Abdominal Pain,Asthma
Sore Throat,Loss of Appetite,Swelling,Joint Pain,Body Pain,Chikungunya
Nausea,Diarrhea,Shortness of Breath,Runny Nose,Sneezing,Malaria
Body Pain,Joint Pain,Nausea,Skin Rash,Sore Throat,Flu
Nausea,Fever,Cough,Dizziness,Fatigue,Dengue
Vomiting,Sneezing,Headache,Swelling,Sore Throat,Asthma
Cough,Dizziness,Body Pain,Joint Pain,Skin Rash,Pneumonia
Skin Rash,Muscle Weakness,Dizziness,Chest Pain,Sweating,Cold
Diarrhea,Muscle Weakness,Headache,Abdominal Pain,Fever,Dengue
Sneezing,Sore Throat,Skin Rash,Vomiting,Diarrhea,Pneumonia
Skin Rash,Sneezing,Nausea,Chills,Shortness of Breath,Malaria
Muscle Weakness,Headache,Joint Pain,Chest Pain,Loss of Appetite,Cold
Diarrhea,Chest Pain,Loss of Appetite,Sweating,Vomiting,Malaria
Muscle Weakness,Abdominal Pain,Chills,Runny Nose,Sweating,Food Poisoning
Cough,Abdominal Pain,Runny Nose,Shortness of Breath,Chest Pain,Allergy
Joint Pain,Loss of Appetite,Swelling,Fatigue,Shortness of Breath,Bronchitis
Nausea,Sore Throat,Runny Nose,Dizziness,Chest Pain,COVID-19
Swelling,Skin Rash,Chills,Headache,High Fever,COVID-19
Sweating,Body Pain,Shortness of Breath,Loss of Appetite,Abdominal Pain,Allergy
Muscle Weakness,Sweating,Fever,Runny Nose,Cough,Flu
Diarrhea,Body Pain,Nausea,Runny Nose,Fever,Malaria
Body Pain,Headache,Fever,Swelling,Nausea,Chikungunya
Loss of Appetite,Dizziness,Fever,Skin Rash,Runny Nose,Chikungunya
Runny Nose,Muscle Weakness,Abdominal Pain,Chest Pain,Dizziness,Flu
Fatigue,Chills,Body Pain,Nausea,Skin Rash,Malaria
Skin Rash,Chills,Loss of Appetite,Chest Pain,Fever,Cold
Vomiting,High Fever,Body Pain,Sore Throat,Nausea,Asthma
Sneezing,Joint Pain,Sweating,High Fever,Vomiting,COVID-19
Swelling,Runny Nose,Abdominal Pain,Sore Throat,Chills,Food Poisoning
Diarrhea,Loss of Appetite,High Fever,Swelling,Vomiting,Tuberculosis
Sweating,Abdominal Pain,Skin Rash,Shortness of Breath,Chest Pain,Tuberculosis
Shortness of Breath,Runny Nose,Fever,Headache,Sweating,Food Poisoning
Swelling,Cough,Sweating,Shortness of Breath,Fever,Asthma
Headache,Runny Nose,Fatigue,Nausea,Swelling,Tuberculosis
Sore Throat,Sneezing,Shortness of Breath,Skin Rash,Nausea,Dengue
Headache,Shortness of Breath,Fatigue,Vomiting,Muscle Weakness,Dengue
Diarrhea,Cough,Vomiting,Swelling,Sneezing,Dengue
Muscle Weakness,Skin Rash,Runny Nose,Nausea,Chills,Dengue
High Fever,Sweating,Shortness of Breath,Skin Rash,Runny Nose,Asthma
High Fever,Vomiting,Swelling,Chest Pain,Muscle Weakness,Cold
Dizziness,Vomiting,Muscle Weakness,Loss of Appetite,Fever,Chikungunya
Muscle Weakness,Sore Throat,Abdominal Pain,Joint Pain,Diarrhea,Tuberculosis
Dizziness,Nausea,Cough,Chest Pain,High Fever,COVID-19
Fever,Skin Rash,Loss of Appetite,Vomiting,Runny Nose,Flu
High Fever,Nausea,Shortness of Breath,Muscle Weakness,Vomiting,Chikungunya
Dizziness,Sore Throat,Headache,Sneezing,High Fever,Dengue
Chest Pain,Cough,Sore Throat,Fatigue,Abdominal Pain,Dengue
Abdominal Pain,Fatigue,Sweating,Vomiting,Swelling,Dengue
Sweating,Dizziness,Body Pain,Sore Throat,Chills,Cold
Chills,Runny Nose,Swelling,Vomiting,High Fever,Food Poisoning
Headache,Sweating,Muscle Weakness,Sneezing,Diarrhea,Food Poisoning
Joint Pain,Vomiting,Muscle Weakness,Cough,Headache,Tuberculosis
Body Pain,Joint Pain,Sweating,Chest Pain,Muscle Weakness,COVID-19
Sneezing,Shortness of Breath,Chest Pain,Fatigue,Swelling,Typhoid
Skin Rash,Sweating,Abdominal Pain,Runny Nose,Chills,Malaria
Skin Rash,Abdominal Pain,Body Pain,Vomiting,Sneezing,Flu
Swelling,Joint Pain,Chest Pain,Headache,Abdominal Pain,Malaria
Sore Throat,High Fever,Runny Nose,Dizziness,Abdominal Pain,Food Poisoning
Nausea,Muscle Weakness,Chills,Cough,Joint Pain,COVID-19
Cough,Loss of Appetite,Joint Pain,Sweating,Nausea,Flu
Vomiting,Chest Pain,Nausea,Sore Throat,Cough,Tuberculosis
Nausea,Loss of Appetite,Dizziness,Skin Rash,Body Pain,Bronchitis
Headache,Runny Nose,Cough,Loss of Appetite,Sneezing,Allergy
Skin Rash,Sweating,Muscle Weakness,Nausea,Chills,Asthma
Dizziness,Headache,Fever,Chills,Body Pain,Typhoid
Headache,Loss of Appetite,Diarrhea,Chills,Skin Rash,Tuberculosis
Abdominal Pain,Fatigue,Swelling,Nausea,Muscle Weakness,Allergy
Chills,Vomiting,Fever,Cough,Loss of Appetite,Food Poisoning
Muscle Weakness,Vomiting,High Fever,Joint Pain,Chills,Cold
Body Pain,Diarrhea,Abdominal Pain,Sneezing,High Fever,Chikungunya
Cough,Sneezing,Joint Pain,High Fever,Shortness of Breath,Malaria
Runny Nose,Sneezing,Fever,Loss of Appetite,Diarrhea,Allergy
Sneezing,Diarrhea,High Fever,Sweating,Sore Throat,COVID-19
Diarrhea,Fatigue,Loss of Appetite,Headache,Shortness of Breath,Dengue
Fever,Body Pain,Fatigue,Headache,Abdominal Pain,Pneumonia
Headache,Vomiting,Sneezing,Runny Nose,Nausea,Cold
Vomiting,Body Pain,Runny Nose,Abdominal Pain,Diarrhea,Chikungunya
Fatigue,Abdominal Pain,Fever,Joint Pain,Body Pain,Dengue
Cough,Fever,High Fever,Fatigue,Runny Nose,Dengue
Vomiting,Shortness of Breath,Sore Throat,Chest Pain,Headache,Flu
Joint Pain,Swelling,Fever,Abdominal Pain,Skin Rash,Allergy
Sore Throat,Muscle Weakness,Diarrhea,Chest Pain,Skin Rash,Chikungunya
Sweating,Fever,Chills,Swelling,Diarrhea,Food Poisoning
Vomiting,Fever,Body Pain,Runny Nose,Diarrhea,Pneumonia
Fever,Body Pain,Dizziness,Fatigue,Vomiting,Cold
Runny Nose,Vomiting,Cough,High Fever,Chest Pain,Cold
Sore Throat,Fatigue,Cough,Sneezing,Skin Rash,Allergy
Dizziness,Cough,Chills,Diarrhea,Nausea,Typhoid
Headache,Loss of Appetite,Chest Pain,Fatigue,Swelling,Tuberculosis
Nausea,Shortness of Breath,Chills,Skin Rash,Sweating,Asthma
Cough,Swelling,Muscle Weakness,Sneezing,Dizziness,Dengue
Fever,Chills,Headache,Body Pain,Swelling,Allergy
Swelling,Dizziness,Fatigue,Joint Pain,Headache,Flu
Vomiting,Muscle Weakness,Joint Pain,Cough,Swelling,Cold
Skin Rash,High Fever,Nausea,Swelling,Headache,Pneumonia
Body Pain,Headache,Joint Pain,Fatigue,Nausea,Allergy
Skin Rash,Shortness of Breath,Diarrhea,Joint Pain,Abdominal Pain,Bronchitis
Sweating,Vomiting,Fatigue,Loss of Appetite,Sneezing,Tuberculosis
Joint Pain,Loss of Appetite,Sore Throat,Sweating,Vomiting,Bronchitis
Swelling,Skin Rash,Dizziness,High Fever,Joint Pain,Allergy
Cough,Skin Rash,Vomiting,Chest Pain,Chills,Malaria
Nausea,Chest Pain,Cough,Shortness of Breath,Muscle Weakness,Chikungunya
Cough,Dizziness,Abdominal Pain,Joint Pain,High Fever,Dengue
Joint Pain,Fatigue,Diarrhea,Swelling,Body Pain,Malaria
Dizziness,Fever,Swelling,Sweating,Skin Rash,Asthma
Headache,Muscle Weakness,Sneezing,Sore Throat,Runny Nose,Tuberculosis
Abdominal Pain,Diarrhea,High Fever,Loss of Appetite,Vomiting,Bronchitis
Swelling,Fever,Dizziness,Loss of Appetite,Runny Nose,Dengue
Runny Nose,Joint Pain,Cough,Shortness of Breath,Vomiting,Allergy
Diarrhea,Swelling,Fever,Vomiting,Body Pain,Pneumonia
Chills,Swelling,High Fever,Shortness of Breath,Fever,Flu
High Fever,Fever,Joint Pain,Muscle Weakness,Abdominal Pain,Food Poisoning
Sweating,Headache,Joint Pain,High Fever,Chills,COVID-19
Sweating,Muscle Weakness,Chills,Vomiting,Headache,Dengue
Sneezing,Chills,Muscle Weakness,Dizziness,Skin Rash,Tuberculosis
Skin Rash,Dizziness,Abdominal Pain,Cough,High Fever,Flu
Sore Throat,Vomiting,Runny Nose,Chest Pain,Joint Pain,COVID-19
Loss of Appetite,Sore Throat,Diarrhea,Chills,Skin Rash,Typhoid
Headache,Fatigue,Dizziness,Cough,Swelling,Flu
Dizziness,Fatigue,Swelling,Runny Nose,Diarrhea,Allergy
Diarrhea,Swelling,Cough,Abdominal Pain,Muscle Weakness,Allergy
Body Pain,Swelling,Chills,High Fever,Cough,Tuberculosis
Loss of Appetite,Headache,Fever,Muscle Weakness,Diarrhea,Bronchitis
Chills,Joint Pain,Headache,Diarrhea,Fever,Pneumonia
Dizziness,Sneezing,Chest Pain,Cough,Swelling,Asthma
Headache,Shortness of Breath,Loss of Appetite,Diarrhea,Skin Rash,Malaria
Loss of Appetite,Headache,Chills,Chest Pain,Fever,Dengue
Nausea,Fever,Muscle Weakness,Diarrhea,Sore Throat,Flu
Vomiting,Sneezing,Nausea,Headache,Diarrhea,Cold
Shortness of Breath,Sore Throat,Abdominal Pain,Sweating,Body Pain,Asthma
Loss of Appetite,Nausea,Fatigue,Dizziness,Skin Rash,Typhoid
Chest Pain,Nausea,Vomiting,Fever,Sore Throat,Bronchitis
Sneezing,Runny Nose,Chills,Joint Pain,Vomiting,Asthma
Diarrhea,Runny Nose,Chills,Sneezing,Body Pain,COVID-19
Abdominal Pain,Body Pain,Diarrhea,High Fever,Loss of Appetite,Flu
Fatigue,Chest Pain,High Fever,Sneezing,Dizziness,Food Poisoning
Diarrhea,Dizziness,Chest Pain,Chills,Body Pain,Cold
Diarrhea,Skin Rash,Headache,Chest Pain,Joint Pain,Cold
Chest Pain,Headache,Nausea,Vomiting,Fatigue,Asthma
Joint Pain,Abdominal Pain,Headache,Chills,Muscle Weakness,Chikungunya
High Fever,Sore Throat,Sneezing,Fatigue,Sweating,Asthma
Chest Pain,High Fever,Cough,Sweating,Fever,Chikungunya
Loss of Appetite,Cough,Sweating,Swelling,Sneezing,Typhoid
Vomiting,Sneezing,Runny Nose,Sore Throat,Abdominal Pain,Chikungunya
Shortness of Breath,Chest Pain,Sneezing,Muscle Weakness,Loss of Appetite,Food Poisoning
Diarrhea,Muscle Weakness,Dizziness,Shortness of Breath,Chills,Typhoid
Diarrhea,Loss of Appetite,Fever,Fatigue,Chest Pain,Malaria
Swelling,Body Pain,Dizziness,Nausea,High Fever,Malaria
Sore Throat,Fever,Vomiting,Cough,Muscle Weakness,Pneumonia
Nausea,Runny Nose,Sweating,Sore Throat,Shortness of Breath,Typhoid
Fever,Skin Rash,Loss of Appetite,Sneezing,Abdominal Pain,Flu
Headache,Chest Pain,High Fever,Muscle Weakness,Sore Throat,Typhoid
Chills,Runny Nose,Dizziness,High Fever,Headache,COVID-19
Swelling,Muscle Weakness,Abdominal Pain,Chills,Dizziness,Asthma
Body Pain,Fatigue,Sore Throat,Nausea,Abdominal Pain,Typhoid
Dizziness,Loss of Appetite,Body Pain,Muscle Weakness,Headache,Flu
Muscle Weakness,Loss of Appetite,Body Pain,Cough,Chills,Dengue
Muscle Weakness,Sneezing,Fatigue,Chills,Joint Pain,Bronchitis
Chest Pain,Loss of Appetite,Runny Nose,Sweating,Fever,Pneumonia
Sneezing,Runny Nose,Body Pain,Joint Pain,Abdominal Pain,Dengue
Diarrhea,Loss of Appetite,Chest Pain,Swelling,Sore Throat,Flu
Body Pain,Nausea,Sore Throat,Sweating,Dizziness,Typhoid
Diarrhea,Loss of Appetite,Chills,Abdominal Pain,Headache,Flu
Shortness of Breath,Sore Throat,Vomiting,Skin Rash,Chills,Malaria
Sneezing,Fatigue,Swelling,Abdominal Pain,Chest Pain,Chikungunya
Shortness of Breath,Headache,Nausea,Sneezing,High Fever,Tuberculosis
Sweating,Headache,Sore Throat,Chest Pain,Cough,Chikungunya
Nausea,Loss of Appetite,Abdominal Pain,Vomiting,Sweating,Bronchitis
Abdominal Pain,Chills,Loss of Appetite,Chest Pain,Headache,Allergy
Sneezing,Sore Throat,High Fever,Fatigue,Fever,Dengue
Runny Nose,Fatigue,Sore Throat,Loss of Appetite,Dizziness,Flu
Joint Pain,Cough,Runny Nose,Swelling,High Fever,Typhoid
Loss of Appetite,Swelling,Sweating,Shortness of Breath,Diarrhea,Dengue
Chills,Sore Throat,Sneezing,Vomiting,Nausea,Allergy
Sweating,Muscle Weakness,Abdominal Pain,Swelling,Dizziness,Typhoid
Chest Pain,Fatigue,Sneezing,Fever,Chills,Pneumonia
Sneezing,Muscle Weakness,Fever,Joint Pain,Nausea,Cold
Sneezing,Sweating,Chills,Swelling,Muscle Weakness,Bronchitis
Diarrhea,Skin Rash,Runny Nose,Body Pain,High Fever,Malaria
Cough,Sore Throat,Skin Rash,Joint Pain,Shortness of Breath,Dengue
Muscle Weakness,Skin Rash,Swelling,Body Pain,Runny Nose,Chikungunya
Sore Throat,Chest Pain,Vomiting,Shortness of Breath,Diarrhea,Typhoid
Abdominal Pain,Body Pain,Fever,Sore Throat,Sneezing,Flu
Fatigue,Vomiting,Cough,Abdominal Pain,Nausea,Flu
Swelling,Sneezing,Muscle Weakness,Body Pain,Abdominal Pain,Bronchitis
Sweating,Chills,Headache,Sneezing,Cough,Pneumonia
Runny Nose,Joint Pain,Sore Throat,Vomiting,Diarrhea,Flu
Vomiting,Shortness of Breath,Dizziness,Cough,Loss of Appetite,Cold
Skin Rash,Fatigue,Dizziness,Sneezing,Chest Pain,Cold
Skin Rash,High Fever,Swelling,Vomiting,Sweating,COVID-19
Fatigue,Chills,Sore Throat,Skin Rash,Sneezing,COVID-19
Swelling,Headache,Chills,High Fever,Vomiting,Typhoid
Chills,Headache,Abdominal Pain,Body Pain,Joint Pain,Dengue
Sneezing,Sore Throat,Fever,Joint Pain,Chest Pain,Pneumonia
Fatigue,Sore Throat,Shortness of Breath,Chest Pain,Swelling,Malaria
Sore Throat,Muscle Weakness,Fatigue,Dizziness,Swelling,Asthma
Body Pain,Fever,Loss of Appetite,Vomiting,Cough,Food Poisoning
Loss of Appetite,Chest Pain,Swelling,Diarrhea,Cough,Allergy
High Fever,Fatigue,Runny Nose,Body Pain,Swelling,Dengue
High Fever,Sweating,Skin Rash,Fever,Cough,Pneumonia
Body Pain,Chills,Diarrhea,Abdominal Pain,Vomiting,Flu
Nausea,Dizziness,Swelling,Cough,Loss of Appetite,Bronchitis
Muscle Weakness,Diarrhea,Sweating,Cough,Shortness of Breath,Malaria
Headache,High Fever,Cough,Diarrhea,Muscle Weakness,Tuberculosis
Cough,Sweating,Headache,Dizziness,Loss of Appetite,COVID-19
Dizziness,Fever,Skin Rash,Abdominal Pain,Muscle Weakness,Chikungunya
Headache,Chest Pain,Cough,Body Pain,Skin Rash,Bronchitis
Skin Rash,Dizziness,Nausea,Headache,Diarrhea,Typhoid
High Fever,Runny Nose,Dizziness,Sore Throat,Muscle Weakness,Dengue
Sneezing,Abdominal Pain,Fatigue,Loss of Appetite,Runny Nose,Typhoid
Swelling,Sweating,Fatigue,Sore Throat,Nausea,Bronchitis
Sneezing,High Fever,Runny Nose,Joint Pain,Body Pain,Cold
Nausea,Chills,Headache,Sore Throat,Dizziness,Typhoid
Dizziness,Skin Rash,Fever,Joint Pain,Chills,Typhoid
Sweating,Chills,Abdominal Pain,Sore Throat,Headache,Malaria
Chest Pain,Abdominal Pain,Chills,Sweating,Muscle Weakness,Pneumonia
Chills,Runny Nose,Muscle Weakness,Abdominal Pain,Skin Rash,Asthma
Sneezing,Cough,Diarrhea,Dizziness,Shortness of Breath,Dengue
Loss of Appetite,Fever,Cough,Sweating,Runny Nose,Chikungunya
Runny Nose,Headache,Muscle Weakness,High Fever,Chest Pain,Flu
Nausea,Sweating,Headache,Fever,Runny Nose,Chikungunya
Swelling,Vomiting,Headache,Nausea,Body Pain,Pneumonia
Shortness of Breath,Fever,Sweating,Sneezing,Dizziness,Malaria
Skin Rash,Diarrhea,Sore Throat,Dizziness,Swelling,Dengue
Abdominal Pain,Skin Rash,Chills,Chest Pain,Cough,Allergy
Fever,Chest Pain,Loss of Appetite,Body Pain,Joint Pain,COVID-19
Chills,Sneezing,Sweating,Nausea,Joint Pain,COVID-19
Vomiting,High Fever,Headache,Fatigue,Sneezing,Bronchitis
Shortness of Breath,Skin Rash,Sneezing,Runny Nose,Joint Pain,Asthma
Body Pain,Sneezing,Headache,Skin Rash,Sweating,Malaria
Sneezing,Headache,Abdominal Pain,Runny Nose,Sweating,Food Poisoning
Chest Pain,Chills,Skin Rash,Diarrhea,Abdominal Pain,COVID-19
Skin Rash,Nausea,Sweating,Chest Pain,Shortness of Breath,Pneumonia
Sneezing,Skin Rash,Loss of Appetite,Vomiting,Nausea,Typhoid
Cough,Joint Pain,Abdominal Pain,Loss of Appetite,Sore Throat,COVID-19
Shortness of Breath,Joint Pain,Abdominal Pain,Fatigue,Dizziness,Allergy
Sore Throat,Headache,Chest Pain,Diarrhea,Sweating,Chikungunya
Abdominal Pain,Loss of Appetite,Skin Rash,Fatigue,Sweating,Tuberculosis
Nausea,Abdominal Pain,Joint Pain,Runny Nose,Dizziness,Typhoid
Sore Throat,Chest Pain,Swelling,High Fever,Diarrhea,Dengue
Cough,Dizziness,Sore Throat,Shortness of Breath,Joint Pain,Tuberculosis
Dizziness,Joint Pain,Runny Nose,Fever,Skin Rash,Asthma
Vomiting,Sore Throat,Body Pain,Skin Rash,Shortness of Breath,Typhoid
Chest Pain,Dizziness,Loss of Appetite,Abdominal Pain,Sweating,Chikungunya
Runny Nose,Joint Pain,Sneezing,Sweating,Body Pain,Food Poisoning
Sore Throat,Loss of Appetite,Fatigue,Joint Pain,Body Pain,Dengue
Headache,Abdominal Pain,Diarrhea,Chills,Chest Pain,Food Poisoning
Vomiting,Sneezing,Sweating,Loss of Appetite,Skin Rash,Typhoid
Nausea,Runny Nose,Muscle Weakness,Diarrhea,Headache,Bronchitis
Abdominal Pain,Nausea,Skin Rash,Fatigue,Muscle Weakness,Dengue
Vomiting,Abdominal Pain,Cough,Nausea,Joint Pain,Typhoid
Runny Nose,Nausea,Body Pain,Sore Throat,Swelling,COVID-19
Diarrhea,Chills,Cough,Fatigue,Nausea,Bronchitis
Headache,Vomiting,Shortness of Breath,Swelling,Dizziness,Pneumonia
Chest Pain,Sweating,Nausea,Sore Throat,Muscle Weakness,Tuberculosis
Joint Pain,Diarrhea,Sneezing,Fatigue,Sweating,Cold
Sneezing,High Fever,Abdominal Pain,Chills,Cough,Malaria
Runny Nose,Shortness of Breath,Diarrhea,Chest Pain,Headache,COVID-19
Diarrhea,Runny Nose,Sore Throat,Headache,Sneezing,Asthma
High Fever,Headache,Diarrhea,Body Pain,Swelling,Chikungunya
Joint Pain,Chills,Chest Pain,Sneezing,Vomiting,Malaria
Body Pain,Diarrhea,Swelling,Vomiting,Muscle Weakness,Pneumonia
Runny Nose,Abdominal Pain,Dizziness,Loss of Appetite,Vomiting,Chikungunya
Chills,Fever,High Fever,Sweating,Fatigue,Typhoid
Joint Pain,Abdominal Pain,Fatigue,Dizziness,Chills,Dengue
Diarrhea,Sore Throat,Shortness of Breath,Chills,Headache,Allergy
Body Pain,Fever,Swelling,Diarrhea,Runny Nose,Cold
Sneezing,Fatigue,Shortness of Breath,Abdominal Pain,Diarrhea,Flu
Sore Throat,Loss of Appetite,Skin Rash,Chest Pain,Sneezing,Malaria
Abdominal Pain,Sweating,Runny Nose,Loss of Appetite,Body Pain,Allergy
Sneezing,Fever,Vomiting,Nausea,Abdominal Pain,Bronchitis
Shortness of Breath,Runny Nose,Nausea,Headache,Vomiting,Tuberculosis
Runny Nose,Body Pain,Cough,Loss of Appetite,Sweating,Allergy
Nausea,High Fever,Sneezing,Loss of Appetite,Runny Nose,Typhoid
Chest Pain,Cough,Dizziness,Loss of Appetite,Joint Pain,Typhoid
Abdominal Pain,Loss of Appetite,Nausea,Cough,High Fever,Bronchitis
Shortness of Breath,Skin Rash,Sneezing,Body Pain,Diarrhea,Malaria
Chills,Vomiting,Swelling,Fatigue,Muscle Weakness,Dengue
Fever,Sore Throat,High Fever,Loss of Appetite,Nausea,Allergy
Sore Throat,Diarrhea,Runny Nose,Chest Pain,Swelling,Food Poisoning
Vomiting,High Fever,Sweating,Cough,Chest Pain,Chikungunya
Diarrhea,Chills,Dizziness,Vomiting,Joint Pain,COVID-19
Chest Pain,Muscle Weakness,Abdominal Pain,Sore Throat,Body Pain,Food Poisoning
Diarrhea,Shortness of Breath,Chest Pain,Sore Throat,Headache,Malaria
Runny Nose,Fever,Headache,Vomiting,Swelling,Flu
Headache,Vomiting,Muscle Weakness,Dizziness,Abdominal Pain,COVID-19
Sneezing,Chest Pain,Fatigue,Fever,Skin Rash,Asthma
Nausea,Swelling,Dizziness,Headache,Abdominal Pain,Dengue
Chest Pain,Vomiting,Abdominal Pain,Muscle Weakness,Chills,Tuberculosis
Sweating,Abdominal Pain,Sneezing,Cough,Vomiting,Asthma
Sweating,Diarrhea,Fever,Shortness of Breath,Vomiting,Bronchitis
Dizziness,High Fever,Nausea,Chest Pain,Fatigue,Tuberculosis
Joint Pain,Fatigue,Skin Rash,Dizziness,Body Pain,Food Poisoning
Vomiting,Fatigue,Diarrhea,Swelling,Dizziness,Food Poisoning
Shortness of Breath,Vomiting,High Fever,Nausea,Dizziness,COVID-19
Sneezing,Cough,Nausea,Loss of Appetite,Diarrhea,Dengue
Sweating,Vomiting,Abdominal Pain,Loss of Appetite,Sore Throat,Typhoid
Sweating,Fever,Nausea,Skin Rash,High Fever,Tuberculosis
Joint Pain,Abdominal Pain,Sweating,Diarrhea,Chest Pain,Malaria
Diarrhea,Muscle Weakness,Fever,Sweating,Sneezing,Malaria
Chills,Shortness of Breath,High Fever,Abdominal Pain,Sneezing,Cold
Runny Nose,Loss of Appetite,Muscle Weakness,Body Pain,Sore Throat,Food Poisoning
Skin Rash,Chest Pain,Diarrhea,Body Pain,Joint Pain,Pneumonia
Diarrhea,Fever,Body Pain,Runny Nose,Swelling,Chikungunya
Nausea,Sneezing,Sweating,Headache,Abdominal Pain,Flu
Loss of Appetite,Sore Throat,Chills,Diarrhea,Shortness of Breath,Asthma
Swelling,Sweating,Body Pain,Diarrhea,Loss of Appetite,Cold
Muscle Weakness,Chills,High Fever,Swelling,Runny Nose,Tuberculosis
Chills,Runny Nose,Skin Rash,High Fever,Headache,Bronchitis
Vomiting,Sore Throat,Cough,Nausea,Loss of Appetite,Cold
Nausea,Abdominal Pain,Body Pain,Sneezing,Loss of Appetite,Food Poisoning
Fever,Muscle Weakness,High Fever,Chills,Headache,Chikungunya
Sneezing,Joint Pain,Loss of Appetite,Diarrhea,Shortness of Breath,Food Poisoning
Skin Rash,Sneezing,Joint Pain,Dizziness,Chest Pain,Tuberculosis
Shortness of Breath,High Fever,Sore Throat,Runny Nose,Vomiting,Chikungunya
Chills,Shortness of Breath,Runny Nose,Skin Rash,Fever,Typhoid
Muscle Weakness,Shortness of Breath,Headache,Fatigue,Swelling,Allergy
Vomiting,Swelling,Nausea,Fatigue,Dizziness,Malaria
Muscle Weakness,Loss of Appetite,Body Pain,Headache,Shortness of Breath,COVID-19
Diarrhea,Vomiting,Headache,Muscle Weakness,Skin Rash,Cold
Nausea,Sneezing,Headache,Sweating,Chest Pain,Pneumonia
High Fever,Headache,Abdominal Pain,Cough,Sneezing,Flu
Dizziness,Cough,Sore Throat,High Fever,Runny Nose,Bronchitis
