Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease,AnimalName
High fever,Nausea,Headache,Severe joint pain,Rash,Chikungunya,Horse
Nausea,Fatigue,Shortness of breath,Congestion,Fever,COVID-19,Cow
Confusion,Chills,Chest pain,Cough with phlegm,Shortness of breath,Pneumonia,Cow
Loss of appetite,Night sweats,Fatigue,Blood in cough,Fever (evening),Tuberculosis,Duck
Vomiting,Sweating,Anemia,Muscle pain,Nausea,Malaria,Mammal
Rash,Nausea,High fever,Fatigue,Severe joint pain,Chikungunya,Tiger
Fatigue,Fever (evening),Night sweats,Persistent cough,Blood in cough,Tuberculosis,Birds
Wheezing,Chills,Mild fever,Chest discomfort,Fatigue,Bronchitis,Hamster
Dry Cough,Runny nose,Fatigue,Chills,Headache,Flu,Chicken
Fatigue,Muscle pain,Rash,Severe joint pain,Nausea,Chikungunya,Wolves
Shortness of breath,Chest tightness,Coughing,Wheezing,None,Asthma,Tiger
Anemia,Nausea,Fatigue,High fever with chills,Headache,Malaria,Dog
Mild bleeding,Fatigue,Rash,Severe headache,Pain behind the eyes,Dengue,Buffaloes
Sneezing,Itchy eyes,Swelling,Runny nose,Skin rash,Allergy,Pig
Severe headache,Fatigue,Rash,Muscle and joint pain,Sudden high fever,Dengue,Elephant
Nausea,Weakness,Bloody diarrhea,Fever,Diarrhea,Food Poisoning,Deer
High fever,Rash,Severe joint pain,Muscle pain,Fatigue,Chikungunya,Cow
Headache,Fatigue,Prolonged high fever,Weakness,Diarrhea,Typhoid,Turtle
Runny nose,Mild cough,Mild fever,Mild fatigue,Sneezing,Cold,Cattle
Bloody diarrhea,Nausea,Diarrhea,Stomach cramps,Vomiting,Food Poisoning,Fox
Bloody diarrhea,Dehydration,Weakness,Fever,Nausea,Food Poisoning,Fowl
Sudden high fever,Dengue Hemorrhagic Fever,Fatigue,Pain behind the eyes,Mild bleeding,Dengue,Pig
Pain behind the eyes,Mild bleeding,Dengue Hemorrhagic Fever,Rash,Muscle and joint pain,Dengue,Cat
Diarrhea,Shortness of breath,Dry cough,Chills,Congestion,COVID-19,Fox
Sneezing,Skin rash,Swelling,Itchy eyes,Runny nose,Allergy,Elephant
Blood in cough,Fatigue,Weight loss,Loss of appetite,Persistent cough,Tuberculosis,Cat
Persistent cough,Fever (evening),Fatigue,Blood in cough,Weight loss,Tuberculosis,Cat
Itchy eyes,Sneezing,Runny nose,Skin rash,Swelling,Allergy,Birds
High fever,Headache,Nausea,Muscle pain,Rash,Chikungunya,Hyaenas
Chest pain,Shortness of breath,Fatigue,High fever,Chills,Pneumonia,Rabbit
Cough with phlegm,Shortness of breath,Chest pain,Fatigue,High fever,Pneumonia,Horse
High fever with chills,Headache,Vomiting,Fatigue,Anemia,Malaria,Turtle
Headache,Constipation,Weakness,Diarrhea,Prolonged high fever,Typhoid,Goat
Sudden high fever,Severe headache,Muscle and joint pain,Fatigue,Mild bleeding,Dengue,Cow
Rash,High fever,Fatigue,Headache,Muscle pain,Chikungunya,Donkey
Pain behind the eyes,Severe headache,Rash,Sudden high fever,Mild bleeding,Dengue,Donkey
Mild fever,Fatigue,Chills,Persistent cough with mucus,Chest discomfort,Bronchitis,Elephant
Muscle aches,Fatigue,Fever,Nausea,Sore throat,COVID-19,Moos
Persistent cough with mucus,Chest discomfort,Wheezing,Chills,Fatigue,Bronchitis,Fowl
Muscle and joint pain,Pain behind the eyes,Sudden high fever,Severe headache,Dengue Hemorrhagic Fever,Dengue,Lion
Stomach cramps,Vomiting,Weakness,Fever,Bloody diarrhea,Food Poisoning,Donkey
Shortness of breath,Cough with phlegm,High fever,Chest pain,Fatigue,Pneumonia,Buffaloes
Blood in cough,Fever (evening),Fatigue,Persistent cough,Night sweats,Tuberculosis,Monkey
Nausea,Fatigue,Severe joint pain,Headache,High fever,Chikungunya,Hyaenas
Chills,Diarrhea,Vomiting,Fatigue,Fever,Flu,Snake
Loss of taste or smell,Sore throat,Congestion,Shortness of breath,Fatigue,COVID-19,Cow
Chills,Shortness of breath,Confusion,Cough with phlegm,Fatigue,Pneumonia,Hamster
Swelling,Skin rash,Runny nose,Itchy eyes,Sneezing,Allergy,Pig
Nausea,Diarrhea,Dry cough,Fatigue,Sore throat,COVID-19,Fowl
Shortness of breath,Coughing,Wheezing,Chest tightness,None,Asthma,Fox
Chest discomfort,Wheezing,Fatigue,Persistent cough with mucus,Mild fever,Bronchitis,Rabbit
Fever,Runny nose,Vomiting,Sore throat,Fatigue,Flu,Cattle
Itchy eyes,Skin rash,Swelling,Sneezing,Runny nose,Allergy,Duck
Vomiting,Nausea,Sweating,High fever with chills,Headache,Malaria,Elephant
Wheezing,Chest tightness,Coughing,Shortness of breath,None,Asthma,Monkey
Headache,Diarrhea,Rose-colored spots,Weakness,Constipation,Typhoid,Snake
Persistent cough,Weight loss,Blood in cough,Loss of appetite,Fatigue,Tuberculosis,Moos
Muscle pain,Sweating,Headache,High fever with chills,Anemia,Malaria,Duck
Muscle and joint pain,Sudden high fever,Rash,Dengue Hemorrhagic Fever,Mild bleeding,Dengue,Duck
Mild fever,Persistent cough with mucus,Chest discomfort,Wheezing,Fatigue,Bronchitis,Cattle
Diarrhea,Fever,Headache,Chills,Dry Cough,Flu,Snake
Headache,Nausea,Jaundice,Sweating,Fatigue,Malaria,Fox
Shortness of breath,Confusion,Chills,Chest pain,Cough with phlegm,Pneumonia,Moos
Shortness of breath,Wheezing,Chest tightness,Coughing,None,Asthma,Goat
Runny nose,Sneezing,Mild fatigue,Mild cough,Sore throat,Cold,Lion
Coughing,Shortness of breath,Chest tightness,Wheezing,None,Asthma,Snake
Mild fever,Fatigue,Chills,Persistent cough with mucus,Chest discomfort,Bronchitis,Birds
Mild fever,Wheezing,Persistent cough with mucus,Chills,Chest discomfort,Bronchitis,Fowl
Headache,Muscle pain,Vomiting,High fever with chills,Nausea,Malaria,Hyaenas
High fever with chills,Vomiting,Muscle pain,Fatigue,Headache,Malaria,Hyaenas
Pain behind the eyes,Mild bleeding,Sudden high fever,Fatigue,Severe headache,Dengue,Goat
Fatigue,Mild fever,Chest discomfort,Chills,Persistent cough with mucus,Bronchitis,Cattle
Prolonged high fever,Abdominal pain,Weakness,Headache,Rose-colored spots,Typhoid,Donkey
Sudden high fever,Fatigue,Mild bleeding,Severe headache,Dengue Hemorrhagic Fever,Dengue,Duck
Headache,Anemia,Vomiting,Nausea,Muscle pain,Malaria,Hamster
Mild fever,Runny nose,Sore throat,Mild cough,Mild fatigue,Cold,Lion
Rose-colored spots,Prolonged high fever,Weakness,Headache,Diarrhea,Typhoid,Cow
Chills,Chest discomfort,Wheezing,Mild fever,Persistent cough with mucus,Bronchitis,Hamster
Runny nose,Sneezing,Mild fever,Sore throat,Mild fatigue,Cold,Sheep
Headache,Chills,Fatigue,Diarrhea,Muscle or body aches,Flu,Birds
Weakness,Dehydration,Nausea,Vomiting,Stomach cramps,Food Poisoning,Dog
Headache,Muscle pain,Nausea,High fever,Rash,Chikungunya,Snake
Congestion,Diarrhea,Loss of taste or smell,Shortness of breath,Dry cough,COVID-19,Hamster
Sudden high fever,Rash,Dengue Hemorrhagic Fever,Mild bleeding,Muscle and joint pain,Dengue,Turtle
Fatigue,Nausea,Muscle pain,Sweating,Vomiting,Malaria,Birds
Mild bleeding,Muscle and joint pain,Fatigue,Pain behind the eyes,Severe headache,Dengue,Birds
Dehydration,Diarrhea,Fever,Stomach cramps,Nausea,Food Poisoning,Moos
Fatigue,Muscle pain,High fever with chills,Vomiting,Headache,Malaria,Duck
Chills,Cough with phlegm,Chest pain,Fatigue,Shortness of breath,Pneumonia,Cow
High fever with chills,Vomiting,Jaundice,Sweating,Fatigue,Malaria,Dog
Mild cough,Sneezing,Mild fever,Mild fatigue,Sore throat,Cold,Moos
Mild fever,Chills,Chest discomfort,Persistent cough with mucus,Wheezing,Bronchitis,Hamster
Dehydration,Vomiting,Stomach cramps,Weakness,Nausea,Food Poisoning,Cow
Mild fever,Mild fatigue,Sneezing,Sore throat,Mild cough,Cold,Tiger
Headache,Fatigue,Weakness,Constipation,Rose-colored spots,Typhoid,Monkey
Night sweats,Fatigue,Blood in cough,Persistent cough,Weight loss,Tuberculosis,Fowl
Fever (evening),Fatigue,Night sweats,Blood in cough,Weight loss,Tuberculosis,Mammal
Constipation,Prolonged high fever,Fatigue,Weakness,Rose-colored spots,Typhoid,Pig
Chills,Fatigue,Confusion,High fever,Cough with phlegm,Pneumonia,Chicken
Weight loss,Loss of appetite,Blood in cough,Fever (evening),Night sweats,Tuberculosis,Duck
Fatigue,Severe headache,Dengue Hemorrhagic Fever,Muscle and joint pain,Pain behind the eyes,Dengue,Cattle
Fatigue,Headache,Nausea,High fever,Muscle pain,Chikungunya,Elephant
Sweating,Nausea,Jaundice,Fatigue,High fever with chills,Malaria,Chicken
Confusion,Shortness of breath,Chest pain,High fever,Cough with phlegm,Pneumonia,Cow
Mild fever,Wheezing,Persistent cough with mucus,Chills,Chest discomfort,Bronchitis,Pig
Diarrhea,Fatigue,Sore throat,Dry Cough,Muscle or body aches,Flu,Buffaloes
Nausea,Weakness,Stomach cramps,Vomiting,Fever,Food Poisoning,Hyaenas
Chills,Wheezing,Chest discomfort,Fatigue,Persistent cough with mucus,Bronchitis,Monkey
Dengue Hemorrhagic Fever,Fatigue,Pain behind the eyes,Rash,Sudden high fever,Dengue,Donkey
Mild cough,Sore throat,Sneezing,Runny nose,Mild fatigue,Cold,Mammal
Severe headache,Sudden high fever,Mild bleeding,Dengue Hemorrhagic Fever,Fatigue,Dengue,Rabbit
Sneezing,Runny nose,Itchy eyes,Swelling,Skin rash,Allergy,Fox
Fatigue,Runny nose,Fever,Headache,Vomiting,Flu,Mammal
Nausea,High fever,Rash,Fatigue,Headache,Chikungunya,Fox
Jaundice,Fatigue,Headache,Sweating,Anemia,Malaria,Turtle
Chills,Cough with phlegm,Fatigue,Shortness of breath,Confusion,Pneumonia,Horse
Confusion,High fever,Fatigue,Chills,Chest pain,Pneumonia,Turtle
Muscle or body aches,Diarrhea,Runny nose,Vomiting,Headache,Flu,Turtle
Persistent cough,Weight loss,Night sweats,Fatigue,Fever (evening),Tuberculosis,Cat
Fever,Muscle aches,Sore throat,Chills,Shortness of breath,COVID-19,Goat
Chills,Muscle aches,Congestion,Fatigue,Diarrhea,COVID-19,Turtle
Chills,Wheezing,Persistent cough with mucus,Mild fever,Chest discomfort,Bronchitis,Fowl
Dengue Hemorrhagic Fever,Fatigue,Severe headache,Sudden high fever,Rash,Dengue,Lion
Shortness of breath,Fatigue,Chills,Confusion,Cough with phlegm,Pneumonia,Duck
Blood in cough,Night sweats,Fatigue,Fever (evening),Persistent cough,Tuberculosis,Wolves
Runny nose,Headache,Muscle or body aches,Fatigue,Sore throat,Flu,Turtle
Constipation,Fatigue,Rose-colored spots,Weakness,Headache,Typhoid,Lion
Dengue Hemorrhagic Fever,Mild bleeding,Rash,Pain behind the eyes,Muscle and joint pain,Dengue,Cow
Rose-colored spots,Diarrhea,Prolonged high fever,Fatigue,Headache,Typhoid,Cow
Runny nose,Mild fever,Sore throat,Mild fatigue,Mild cough,Cold,Cattle
Sudden high fever,Severe headache,Mild bleeding,Pain behind the eyes,Dengue Hemorrhagic Fever,Dengue,Turtle
Headache,Diarrhea,Constipation,Fatigue,Weakness,Typhoid,Lion
Weakness,Stomach cramps,Bloody diarrhea,Vomiting,Fever,Food Poisoning,Turtle
Sore throat,Mild fever,Mild fatigue,Mild cough,Runny nose,Cold,Pig
Swelling,Skin rash,Itchy eyes,Runny nose,Sneezing,Allergy,Donkey
Dry cough,Congestion,Fatigue,Chills,Diarrhea,COVID-19,Chicken
Sneezing,Skin rash,Itchy eyes,Runny nose,Swelling,Allergy,Cattle
Mild fatigue,Sore throat,Sneezing,Runny nose,Mild cough,Cold,Hamster
Runny nose,Swelling,Skin rash,Sneezing,Itchy eyes,Allergy,Mammal
Vomiting,Stomach cramps,Dehydration,Fever,Diarrhea,Food Poisoning,Snake
Mild cough,Mild fever,Sore throat,Sneezing,Runny nose,Cold,Fowl
Muscle pain,Headache,High fever with chills,Anemia,Fatigue,Malaria,Moos
Chills,Confusion,High fever,Cough with phlegm,Shortness of breath,Pneumonia,Hamster
Skin rash,Swelling,Itchy eyes,Runny nose,Sneezing,Allergy,Birds
Muscle pain,Fatigue,Headache,Nausea,Jaundice,Malaria,Goat
Muscle pain,Headache,Fatigue,High fever,Severe joint pain,Chikungunya,Rabbit
Shortness of breath,Fatigue,Chest pain,Cough with phlegm,High fever,Pneumonia,Cow
Rash,Nausea,High fever,Headache,Muscle pain,Chikungunya,Goat
Headache,Chills,Muscle or body aches,Fatigue,Diarrhea,Flu,Horse
Dry cough,Fever,Fatigue,Muscle aches,Sore throat,COVID-19,Moos
Loss of appetite,Night sweats,Fever (evening),Fatigue,Weight loss,Tuberculosis,Pig
Diarrhea,Dehydration,Nausea,Bloody diarrhea,Vomiting,Food Poisoning,Wolves
Runny nose,Mild fatigue,Sore throat,Sneezing,Mild cough,Cold,Moos
Muscle and joint pain,Sudden high fever,Fatigue,Rash,Severe headache,Dengue,Moos
Chills,Fatigue,Mild fever,Persistent cough with mucus,Wheezing,Bronchitis,Horse
Severe headache,Dengue Hemorrhagic Fever,Sudden high fever,Mild bleeding,Muscle and joint pain,Dengue,Tiger
Mild bleeding,Dengue Hemorrhagic Fever,Pain behind the eyes,Sudden high fever,Severe headache,Dengue,Horse
Headache,Fatigue,High fever,Rash,Nausea,Chikungunya,Dog
Blood in cough,Night sweats,Fatigue,Persistent cough,Fever (evening),Tuberculosis,Sheep
Runny nose,Swelling,Skin rash,Itchy eyes,Sneezing,Allergy,Cow
High fever,Chills,Fatigue,Confusion,Chest pain,Pneumonia,Cattle
Dengue Hemorrhagic Fever,Muscle and joint pain,Fatigue,Sudden high fever,Rash,Dengue,Duck
Chills,Chest discomfort,Fatigue,Wheezing,Persistent cough with mucus,Bronchitis,Chicken
Confusion,Chest pain,Cough with phlegm,Fatigue,Shortness of breath,Pneumonia,Rabbit
Skin rash,Sneezing,Swelling,Runny nose,Itchy eyes,Allergy,Pig
Swelling,Skin rash,Itchy eyes,Runny nose,Sneezing,Allergy,Snake
Sweating,Anemia,Vomiting,Muscle pain,High fever with chills,Malaria,Cattle
Itchy eyes,Sneezing,Swelling,Runny nose,Skin rash,Allergy,Deer
Chills,Nausea,Sore throat,Diarrhea,Muscle aches,COVID-19,Cow
Chills,Fatigue,Chest pain,Cough with phlegm,High fever,Pneumonia,Tiger
Night sweats,Fatigue,Blood in cough,Weight loss,Persistent cough,Tuberculosis,Deer
Wheezing,Fatigue,Chills,Persistent cough with mucus,Chest discomfort,Bronchitis,Mammal
Fatigue,Abdominal pain,Headache,Prolonged high fever,Diarrhea,Typhoid,Cow
Fever,Weakness,Diarrhea,Nausea,Bloody diarrhea,Food Poisoning,Dog
Nausea,Muscle pain,High fever with chills,Headache,Fatigue,Malaria,Goat
Headache,Weakness,Rose-colored spots,Diarrhea,Prolonged high fever,Typhoid,Cow
Sore throat,Mild cough,Sneezing,Mild fever,Runny nose,Cold,Buffaloes
Diarrhea,Chills,Fatigue,Muscle or body aches,Fever,Flu,Cattle
Constipation,Fatigue,Prolonged high fever,Weakness,Diarrhea,Typhoid,Buffaloes
Fatigue,Confusion,Cough with phlegm,Shortness of breath,Chills,Pneumonia,Lion
Shortness of breath,Coughing,Wheezing,Chest tightness,None,Asthma,Rabbit
Weakness,Headache,Abdominal pain,Fatigue,Diarrhea,Typhoid,Donkey
Dry cough,Chills,Congestion,Shortness of breath,Loss of taste or smell,COVID-19,Wolves
Fatigue,Chest discomfort,Persistent cough with mucus,Mild fever,Chills,Bronchitis,Monkey
Dry Cough,Headache,Chills,Diarrhea,Vomiting,Flu,Goat
Sneezing,Runny nose,Skin rash,Itchy eyes,Swelling,Allergy,Deer
Muscle or body aches,Runny nose,Fever,Chills,Vomiting,Flu,Elephant
Fatigue,Persistent cough,Loss of appetite,Blood in cough,Fever (evening),Tuberculosis,Hyaenas
Shortness of breath,Coughing,Wheezing,Chest tightness,None,Asthma,Wolves
Wheezing,Coughing,Shortness of breath,Chest tightness,None,Asthma,Sheep
Nausea,Sweating,Fatigue,Headache,Vomiting,Malaria,Turtle
Chills,Fever,Sore throat,Diarrhea,Muscle or body aches,Flu,Buffaloes
Persistent cough with mucus,Chest discomfort,Wheezing,Chills,Mild fever,Bronchitis,Hyaenas
Chills,Nausea,Fatigue,Congestion,Dry cough,COVID-19,Dog
Fatigue,Rash,High fever,Nausea,Muscle pain,Chikungunya,Monkey
Mild fever,Runny nose,Mild cough,Sore throat,Sneezing,Cold,Dog
Fatigue,Chills,Wheezing,Persistent cough with mucus,Mild fever,Bronchitis,Birds
Blood in cough,Weight loss,Night sweats,Persistent cough,Fever (evening),Tuberculosis,Snake
Headache,Sweating,Anemia,Vomiting,Nausea,Malaria,Buffaloes
Itchy eyes,Sneezing,Runny nose,Skin rash,Swelling,Allergy,Birds
Nausea,Muscle pain,High fever,Headache,Severe joint pain,Chikungunya,Duck
Fatigue,Mild bleeding,Pain behind the eyes,Rash,Muscle and joint pain,Dengue,Duck
Runny nose,Sore throat,Mild cough,Sneezing,Mild fever,Cold,Chicken
Chills,Fatigue,Wheezing,Chest discomfort,Mild fever,Bronchitis,Cat
Rose-colored spots,Fatigue,Weakness,Abdominal pain,Diarrhea,Typhoid,Tiger
Sneezing,Skin rash,Runny nose,Swelling,Itchy eyes,Allergy,Goat
Stomach cramps,Diarrhea,Vomiting,Dehydration,Bloody diarrhea,Food Poisoning,Buffaloes
Dehydration,Weakness,Fever,Vomiting,Stomach cramps,Food Poisoning,Mammal
Chills,Congestion,Fever,Dry cough,Shortness of breath,COVID-19,Pig
Headache,Muscle pain,Anemia,Fatigue,Sweating,Malaria,Deer
Fatigue,Sore throat,Headache,Muscle or body aches,Vomiting,Flu,Birds
Diarrhea,Chills,Dry Cough,Muscle or body aches,Sore throat,Flu,Rabbit
Sweating,Vomiting,Muscle pain,Jaundice,Headache,Malaria,Sheep
Diarrhea,Vomiting,Stomach cramps,Dehydration,Fever,Food Poisoning,Chicken
Fever,Nausea,Vomiting,Dehydration,Weakness,Food Poisoning,Tiger
Sore throat,Dry cough,Loss of taste or smell,Fever,Nausea,COVID-19,Cow
Weight loss,Fever (evening),Night sweats,Loss of appetite,Persistent cough,Tuberculosis,Hyaenas
Sneezing,Swelling,Itchy eyes,Skin rash,Runny nose,Allergy,Moos
Fatigue,Sweating,Headache,Anemia,High fever with chills,Malaria,Pig
Night sweats,Persistent cough,Loss of appetite,Fatigue,Blood in cough,Tuberculosis,Tiger
Weight loss,Night sweats,Fever (evening),Loss of appetite,Persistent cough,Tuberculosis,Horse
Pain behind the eyes,Muscle and joint pain,Rash,Mild bleeding,Fatigue,Dengue,Birds
Muscle and joint pain,Rash,Mild bleeding,Pain behind the eyes,Sudden high fever,Dengue,Chicken
Severe joint pain,Headache,Muscle pain,Fatigue,Rash,Chikungunya,Pig
Diarrhea,Sore throat,Fatigue,Muscle or body aches,Chills,Flu,Hamster
Fatigue,Chills,Diarrhea,Fever,Nausea,COVID-19,Birds
Rash,Fatigue,Nausea,Headache,Muscle pain,Chikungunya,Cattle
Sore throat,Fatigue,Dry cough,Shortness of breath,Diarrhea,COVID-19,Hamster
Runny nose,Mild fever,Mild fatigue,Mild cough,Sneezing,Cold,Turtle
Fatigue,Confusion,Chills,Chest pain,Shortness of breath,Pneumonia,Wolves
Runny nose,Muscle or body aches,Headache,Fatigue,Diarrhea,Flu,Chicken
Fatigue,Confusion,Chills,Cough with phlegm,Shortness of breath,Pneumonia,Goat
Skin rash,Swelling,Itchy eyes,Runny nose,Sneezing,Allergy,Donkey
Nausea,Congestion,Diarrhea,Muscle aches,Fatigue,COVID-19,Horse
Chest pain,Confusion,Fatigue,High fever,Chills,Pneumonia,Birds
Chest tightness,Coughing,Shortness of breath,Wheezing,None,Asthma,Buffaloes
Confusion,Chest pain,Chills,Fatigue,Cough with phlegm,Pneumonia,Wolves
Fatigue,Muscle pain,Rash,High fever,Headache,Chikungunya,Goat
Fatigue,Chills,Chest pain,High fever,Shortness of breath,Pneumonia,Turtle
Chest tightness,Shortness of breath,Coughing,Wheezing,None,Asthma,Fowl
Mild fatigue,Runny nose,Sore throat,Mild cough,Sneezing,Cold,Cow
Severe headache,Muscle and joint pain,Pain behind the eyes,Fatigue,Mild bleeding,Dengue,Dog
Chills,Loss of taste or smell,Congestion,Fatigue,Fever,COVID-19,Moos
Constipation,Headache,Rose-colored spots,Diarrhea,Fatigue,Typhoid,Hamster
Coughing,Wheezing,Chest tightness,Shortness of breath,None,Asthma,Tiger
Fatigue,Severe joint pain,Muscle pain,Nausea,High fever,Chikungunya,Cattle
Mild fatigue,Mild fever,Sore throat,Runny nose,Sneezing,Cold,Fox
Sneezing,Sore throat,Runny nose,Mild fever,Mild cough,Cold,Duck
Headache,Diarrhea,Vomiting,Runny nose,Fever,Flu,Cat
Runny nose,Mild cough,Sneezing,Mild fever,Mild fatigue,Cold,Turtle
Constipation,Weakness,Fatigue,Rose-colored spots,Prolonged high fever,Typhoid,Cat
Weakness,Diarrhea,Constipation,Fatigue,Prolonged high fever,Typhoid,Wolves
Prolonged high fever,Fatigue,Rose-colored spots,Weakness,Abdominal pain,Typhoid,Dog
Dengue Hemorrhagic Fever,Pain behind the eyes,Muscle and joint pain,Mild bleeding,Severe headache,Dengue,Donkey
Fatigue,Persistent cough,Weight loss,Blood in cough,Loss of appetite,Tuberculosis,Duck
Sneezing,Runny nose,Itchy eyes,Swelling,Skin rash,Allergy,Turtle
Congestion,Sore throat,Fever,Nausea,Chills,COVID-19,Buffaloes
Wheezing,Shortness of breath,Chest tightness,Coughing,None,Asthma,Lion
Prolonged high fever,Diarrhea,Fatigue,Headache,Abdominal pain,Typhoid,Buffaloes
High fever with chills,Muscle pain,Sweating,Jaundice,Anemia,Malaria,Buffaloes
Swelling,Sneezing,Runny nose,Itchy eyes,Skin rash,Allergy,Moos
Dry Cough,Sore throat,Fatigue,Vomiting,Fever,Flu,Hamster
Nausea,Weakness,Bloody diarrhea,Fever,Diarrhea,Food Poisoning,Fowl
Constipation,Fatigue,Diarrhea,Prolonged high fever,Headache,Typhoid,Donkey
Sudden high fever,Mild bleeding,Dengue Hemorrhagic Fever,Muscle and joint pain,Fatigue,Dengue,Horse
Dehydration,Weakness,Stomach cramps,Bloody diarrhea,Nausea,Food Poisoning,Donkey
High fever with chills,Sweating,Jaundice,Muscle pain,Fatigue,Malaria,Snake
Weakness,Headache,Constipation,Prolonged high fever,Rose-colored spots,Typhoid,Monkey
Blood in cough,Fatigue,Loss of appetite,Persistent cough,Weight loss,Tuberculosis,Wolves
Nausea,Fatigue,Rash,Headache,High fever,Chikungunya,Elephant
Coughing,Shortness of breath,Wheezing,Chest tightness,None,Asthma,Chicken
Chest tightness,Shortness of breath,Wheezing,Coughing,None,Asthma,Goat
Shortness of breath,Wheezing,Coughing,Chest tightness,None,Asthma,Cat
Chills,Mild fever,Fatigue,Chest discomfort,Persistent cough with mucus,Bronchitis,Hamster
Chills,Chest discomfort,Persistent cough with mucus,Fatigue,Wheezing,Bronchitis,Wolves
Weakness,Fatigue,Prolonged high fever,Rose-colored spots,Constipation,Typhoid,Goat
Chest discomfort,Persistent cough with mucus,Wheezing,Mild fever,Fatigue,Bronchitis,Rabbit
